Área,Tarea,Subtarea,Responsable,Estado,Fecha estimada,Comentarios
General,Configurar entorno virtual y dependencias,,Tú,☐,,
General,Configurar proyecto Django base,,Tú,☐,,
General,Configurar base de datos MariaDB/MySQL,,Tú,☐,,
General,Configurar proyecto Next.js base,,Tú,☐,,
General,Actualizar README y documentación,,Tú,☐,,
General,Documentar instalación y despliegue local,,Tú,☐,,
General,Actualizar docs/arquitectura.md,,Tú,☐,,
General,Crear docs/plan_trabajo.md,,Tú,☐,,

Usuarios,Modelo de usuario personalizado,,Tú,☐,,
Usuarios,Autenticación email/contraseña,,Tú,☐,,
Usuarios,Autenticación social (Google/Facebook),,Tú,☐,,
Usuarios,Gestión de foto de perfil,,Tú,☐,,
Usuarios,Gestión de datos personales y objetivos,,Tú,☐,,
Usuarios,Panel admin para preguntas editables,,Tú,☐,,

Preguntas,Modelo de preguntas predefinidas,,Tú,☐,,
Preguntas,Modelo de respuestas de usuario,,Tú,☐,,
Preguntas,CRUD de preguntas desde admin,,Tú,☐,,

Planes,Modelo de plan de entrenamiento,,Tú,☐,,
Planes,Endpoint para generación de plan por IA,,Tú,☐,,
Planes,Endpoint para modificar/adaptar plan,,Tú,☐,,
Planes,Historial de planes (eliminación lógica),,Tú,☐,,

Rutinas,Modelo de rutina diaria,,Tú,☐,,
Rutinas,Modelo de ejercicios en rutina,,Tú,☐,,
Rutinas,Endpoint para marcar rutina como realizada,,Tú,☐,,

Ejercicios,Modelo de ejercicio (creado por IA),,Tú,☐,,
Ejercicios,Base de datos inicial vacía,,Tú,☐,,

Progreso,Modelo de progreso y medidas,,Tú,☐,,
Progreso,Gestión de fotos de progreso,,Tú,☐,,
Progreso,Visualización de progreso y reportes,,Tú,☐,,

Notificaciones,Implementar notificaciones push,,Tú,☐,,
Notificaciones,Endpoint para mensajes motivacionales,,Tú,☐,,
Notificaciones,Configuración de frecuencia por usuario,,Tú,☐,,

Feedback,Modelo de feedback y sugerencias,,Tú,☐,,
Feedback,Endpoint para enviar feedback,,Tú,☐,,
Feedback,Panel admin para ver feedback,,Tú,☐,,

Documentación,Actualizar README con plan de trabajo,,Tú,☐,,
Documentación,Agregar diagrama de flujo en docs/arquitectura.md,,Tú,☐,,
Documentación,Documentar modelo de datos y relaciones,,Tú,☐,,
Documentación,Documentar endpoints principales,,Tú,☐,,

Mejoras futuras,Agregar gamificación (logros, medallas),,Tú,☐,,
Mejoras futuras,Agregar integración con dispositivos externos,,Tú,☐,,
Mejoras futuras,Agregar planes de nutrición,,Tú,☐,,
Mejoras futuras,Agregar comunidad/foro,,Tú,☐,, 
